회사명,거래소코드,회계년도,판매비와관리비(영업비용)(*)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원)
(주)경인양행,012610,1991/12,2576854,
(주)경인양행,012610,1992/12,2926922,
(주)경인양행,012610,1993/12,4376614,
(주)경인양행,012610,1994/12,5032542,
(주)경인양행,012610,1995/12,6179656,
(주)경인양행,012610,1996/12,6235426,
(주)경인양행,012610,1997/12,7327214,
(주)경인양행,012610,1998/12,10592003,
(주)경인양행,012610,1999/12,9470130,
(주)경인양행,012610,2000/12,9915179,
(주)경인양행,012610,2001/12,12350080,
(주)경인양행,012610,2002/12,12837959,
(주)경인양행,012610,2003/12,13044236,
(주)경인양행,012610,2004/12,14088579,
(주)경인양행,012610,2005/12,12356396,
(주)경인양행,012610,2006/12,13665949,
(주)경인양행,012610,2007/12,13499887,13499887
(주)경인양행,012610,2008/12,17002871,17002871
(주)경인양행,012610,2009/12,16888627,16888627
(주)경인양행,012610,2010/12,18592720,18592720
(주)경인양행,012610,2011/12,16999541,16999541
(주)경인양행,012610,2012/12,17683856,17683856
(주)경인양행,012610,2013/12,23144838,23144838
(주)경인양행,012610,2014/12,25778430,25778430
(주)경인양행,012610,2015/12,26546410,26546410
(주)경인양행,012610,2016/12,26292972,26292972
(주)경인양행,012610,2017/12,28970760,28970760
(주)경인양행,012610,2018/12,40878853,40878853
(주)경인양행,012610,2019/12,42802896,42802896
(주)경인양행,012610,2020/12,46476293,46476293
(주)광명전기,017040,1986/12,957090,
(주)광명전기,017040,1987/12,1272927,
(주)광명전기,017040,1988/12,1520537,
(주)광명전기,017040,1989/12,1748377,
(주)광명전기,017040,1990/12,1707545,
(주)광명전기,017040,1991/12,1630558,
(주)광명전기,017040,1992/12,1908621,
(주)광명전기,017040,1993/12,2272738,
(주)광명전기,017040,1994/12,2797630,
(주)광명전기,017040,1995/12,3288611,
(주)광명전기,017040,1996/12,4529947,
(주)광명전기,017040,1997/12,5118162,
(주)광명전기,017040,1998/12,,
(주)광명전기,017040,1999/12,2647480,
(주)광명전기,017040,2000/12,2082224,
(주)광명전기,017040,2002/11,4175043,
(주)광명전기,017040,2003/11,4352300,
(주)광명전기,017040,2004/11,4130828,
(주)광명전기,017040,2005/12,4140567,
(주)광명전기,017040,2006/12,4739237,
(주)광명전기,017040,2007/12,4154995,4154995
(주)광명전기,017040,2008/12,4283855,4283855
