회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원),매출액(수익)(*)(IFRS)(천원)
(주)강원랜드,035250,2006/12,869495601,
(주)강원랜드,035250,2007/12,1066507237,1066507237
(주)강원랜드,035250,2008/12,1149282882,1149282882
(주)강원랜드,035250,2009/12,1206658712,1206658712
(주)강원랜드,035250,2010/12,1313682568,1313380414
(주)강원랜드,035250,2011/12,1263651213,1263651213
(주)강원랜드,035250,2012/12,1292896121,1292896121
(주)강원랜드,035250,2013/12,1356906162,1356906162
(주)강원랜드,035250,2014/12,1492291312,1492291312
(주)강원랜드,035250,2015/12,1630976696,1630976696
(주)강원랜드,035250,2016/12,1694575212,1694575212
(주)강원랜드,035250,2017/12,1602901764,1602901764
(주)강원랜드,035250,2018/12,1436042435,1436042435
(주)강원랜드,035250,2019/12,1517612252,1517612252
(주)강원랜드,035250,2020/12,477474858,477474858
(주)갤럭시아에스엠,011420,1985/12,15926371,
(주)갤럭시아에스엠,011420,1986/12,21784864,
(주)갤럭시아에스엠,011420,1987/12,27007113,
(주)갤럭시아에스엠,011420,1988/12,28038909,
(주)갤럭시아에스엠,011420,1989/12,28340470,
(주)갤럭시아에스엠,011420,1990/12,34733757,
(주)갤럭시아에스엠,011420,1991/12,33650681,
(주)갤럭시아에스엠,011420,1992/12,43397482,
(주)갤럭시아에스엠,011420,1993/12,50980342,
(주)갤럭시아에스엠,011420,1994/12,68219730,
(주)갤럭시아에스엠,011420,1995/12,74263149,
(주)갤럭시아에스엠,011420,1996/12,88305453,
(주)갤럭시아에스엠,011420,1997/12,94066571,
(주)갤럭시아에스엠,011420,1998/12,95535385,
(주)갤럭시아에스엠,011420,1999/12,55191484,
(주)갤럭시아에스엠,011420,2000/12,79091628,
(주)갤럭시아에스엠,011420,2001/12,64024226,
(주)갤럭시아에스엠,011420,2002/12,62516316,
(주)갤럭시아에스엠,011420,2003/12,63674045,
(주)갤럭시아에스엠,011420,2004/12,30181913,
(주)갤럭시아에스엠,011420,2005/12,32547613,
(주)갤럭시아에스엠,011420,2006/12,46867530,
(주)갤럭시아에스엠,011420,2007/12,46163886,46163886
(주)갤럭시아에스엠,011420,2008/12,54450391,54450391
(주)갤럭시아에스엠,011420,2009/12,47884151,47884151
(주)갤럭시아에스엠,011420,2010/12,42704968,42704968
(주)갤럭시아에스엠,011420,2011/12,31931418,31931418
(주)갤럭시아에스엠,011420,2012/12,37398255,37398255
(주)갤럭시아에스엠,011420,2013/12,30903637,30903637
(주)갤럭시아에스엠,011420,2014/12,33027933,33027933
(주)갤럭시아에스엠,011420,2015/12,53784932,53784932
(주)갤럭시아에스엠,011420,2016/12,45665676,45665676
(주)갤럭시아에스엠,011420,2017/12,36917656,36917656
(주)갤럭시아에스엠,011420,2018/12,22030258,22030258
(주)갤럭시아에스엠,011420,2019/12,28732679,28732679
(주)갤럭시아에스엠,011420,2020/12,19539594,19539594
(주)경농,002100,1981/12,21612105,
(주)경농,002100,1982/12,19568564,
(주)경농,002100,1983/12,22869451,
(주)경농,002100,1984/12,30508447,
(주)경농,002100,1985/12,35714637,
(주)경농,002100,1986/12,38029888,
(주)경농,002100,1987/12,40029430,
(주)경농,002100,1988/12,38556432,
(주)경농,002100,1989/12,44728034,
(주)경농,002100,1990/12,53673280,
(주)경농,002100,1991/12,62772380,
(주)경농,002100,1992/12,68431004,
(주)경농,002100,1993/12,83791016,
(주)경농,002100,1994/12,85916249,
(주)경농,002100,1995/12,89226921,
(주)경농,002100,1996/12,95419912,
(주)경농,002100,1997/12,108529540,
(주)경농,002100,1998/12,120551044,
(주)경농,002100,1999/12,118360622,
(주)경농,002100,2000/12,111430975,
(주)경농,002100,2001/12,113717106,
(주)경농,002100,2002/12,110611997,
(주)경농,002100,2003/12,106388427,
(주)경농,002100,2004/12,112605662,
(주)경농,002100,2005/12,118473763,
(주)경농,002100,2006/12,122144956,
(주)경농,002100,2007/12,128992027,128992027
(주)경농,002100,2008/12,140801593,140801593
(주)경농,002100,2009/12,149831874,149831874
(주)경농,002100,2010/12,143042882,143042882
(주)경농,002100,2011/12,120728258,120728258
(주)경농,002100,2012/12,131021366,131021366
(주)경농,002100,2013/12,139237273,139237273
(주)경농,002100,2014/12,134806677,134806677
(주)경농,002100,2015/12,137609256,137609256
(주)경농,002100,2016/12,143209666,143209666
(주)경농,002100,2017/12,143175105,143175105
(주)경농,002100,2018/12,146216658,146216658
