회사명,거래소코드,회계년도,이연법인세부채(천원),이연법인세부채(IFRS)(천원)
(주)갤럭시아에스엠,011420,2012/12,0,0
(주)갤럭시아에스엠,011420,2013/12,0,0
(주)갤럭시아에스엠,011420,2014/12,0,0
(주)갤럭시아에스엠,011420,2015/12,0,0
(주)갤럭시아에스엠,011420,2016/12,0,0
(주)갤럭시아에스엠,011420,2017/12,0,0
(주)갤럭시아에스엠,011420,2018/12,0,0
(주)갤럭시아에스엠,011420,2019/12,0,0
(주)갤럭시아에스엠,011420,2020/12,0,0
(주)경농,002100,1981/12,0,
(주)경농,002100,1982/12,0,
(주)경농,002100,1983/12,0,
(주)경농,002100,1984/12,0,
(주)경농,002100,1985/12,0,
(주)경농,002100,1986/12,0,
(주)경농,002100,1987/12,0,
(주)경농,002100,1988/12,0,
(주)경농,002100,1989/12,0,
(주)경농,002100,1990/12,0,
(주)경농,002100,1991/12,0,
(주)경농,002100,1992/12,0,
(주)경농,002100,1993/12,0,
(주)경농,002100,1994/12,0,
(주)경농,002100,1995/12,0,
(주)경농,002100,1996/12,0,
(주)경농,002100,1997/12,0,
(주)경농,002100,1998/12,0,
(주)경농,002100,1999/12,0,
(주)경농,002100,2000/12,0,
(주)경농,002100,2001/12,0,
(주)경농,002100,2002/12,0,
(주)경농,002100,2003/12,0,
(주)경농,002100,2004/12,0,
(주)경농,002100,2005/12,0,
(주)경농,002100,2006/12,0,
(주)경농,002100,2007/12,0,0
(주)경농,002100,2008/12,439314,439314
(주)경농,002100,2009/12,0,0
(주)경농,002100,2010/12,0,1598289
(주)경농,002100,2011/12,0,423149
(주)경농,002100,2012/12,0,685473
(주)경농,002100,2013/12,0,19010
(주)경농,002100,2014/12,0,0
(주)경농,002100,2015/12,0,0
(주)경농,002100,2016/12,0,0
(주)경농,002100,2017/12,0,0
(주)경농,002100,2018/12,0,0
(주)경농,002100,2019/12,0,0
(주)경농,002100,2020/12,0,0
(주)경동나비엔,009450,1986/12,0,
(주)경동나비엔,009450,1987/12,0,
(주)경동나비엔,009450,1988/12,0,
(주)경동나비엔,009450,1989/12,0,
(주)경동나비엔,009450,1990/12,0,
(주)경동나비엔,009450,1991/12,0,
(주)경동나비엔,009450,1992/12,0,
(주)경동나비엔,009450,1993/12,0,
(주)경동나비엔,009450,1994/12,0,
(주)경동나비엔,009450,1995/12,0,
(주)경동나비엔,009450,1996/12,0,
(주)경동나비엔,009450,1997/12,0,
(주)경동나비엔,009450,1998/12,0,
(주)경동나비엔,009450,1999/12,0,
(주)경동나비엔,009450,2000/12,0,
(주)경동나비엔,009450,2001/12,0,
(주)경동나비엔,009450,2002/12,0,
(주)경동나비엔,009450,2003/12,0,
(주)경동나비엔,009450,2004/12,0,
(주)경동나비엔,009450,2005/12,0,
(주)경동나비엔,009450,2006/12,0,
(주)경동나비엔,009450,2007/12,0,2836114
(주)경동나비엔,009450,2008/12,0,1407799
(주)경동나비엔,009450,2009/12,0,1389406
(주)경동나비엔,009450,2010/12,0,1245792
(주)경동나비엔,009450,2011/12,0,1751696
(주)경동나비엔,009450,2012/12,0,2190827
(주)경동나비엔,009450,2013/12,0,1592455
(주)경동나비엔,009450,2014/12,0,573049
(주)경동나비엔,009450,2015/12,0,0
(주)경동나비엔,009450,2016/12,0,0
(주)경동나비엔,009450,2017/12,0,0
(주)경동나비엔,009450,2018/12,0,0
(주)경동나비엔,009450,2019/12,0,0
(주)경동나비엔,009450,2020/12,0,0
(주)경동도시가스,267290,2017/12,0,26251159
(주)경동도시가스,267290,2018/12,0,25013001
(주)경동도시가스,267290,2019/12,0,22586945
(주)경동도시가스,267290,2020/12,0,17881295
(주)경동인베스트,012320,1984/12,0,
(주)경동인베스트,012320,1985/12,0,
(주)경동인베스트,012320,1986/12,0,
(주)경동인베스트,012320,1987/12,0,
(주)경동인베스트,012320,1988/12,0,
(주)경동인베스트,012320,1989/12,0,
(주)경동인베스트,012320,1990/12,0,
(주)경동인베스트,012320,1991/12,0,
(주)경동인베스트,012320,1992/12,0,
(주)경동인베스트,012320,1993/12,0,
(주)경동인베스트,012320,1994/12,0,
(주)경동인베스트,012320,1995/12,0,
(주)경동인베스트,012320,1996/12,0,
(주)경동인베스트,012320,1997/12,0,
(주)경동인베스트,012320,1998/12,0,
(주)경동인베스트,012320,1999/12,0,
(주)경동인베스트,012320,2000/12,0,
(주)경동인베스트,012320,2001/12,0,
(주)경동인베스트,012320,2002/12,0,
(주)경동인베스트,012320,2003/12,0,
(주)경동인베스트,012320,2004/12,0,
(주)경동인베스트,012320,2005/12,61856,
(주)경동인베스트,012320,2006/12,75641,
(주)경동인베스트,012320,2007/12,196089,8315637
(주)경동인베스트,012320,2008/12,0,5828806
(주)경동인베스트,012320,2009/12,237141,7436975
(주)경동인베스트,012320,2010/12,366762,23683529
(주)경동인베스트,012320,2011/12,0,24321090
(주)경동인베스트,012320,2012/12,0,29467580
(주)경동인베스트,012320,2013/12,0,33075862
(주)경동인베스트,012320,2014/12,0,33940365
(주)경동인베스트,012320,2015/12,0,26406638
(주)경동인베스트,012320,2016/12,0,32199957
(주)경동인베스트,012320,2017/12,0,7627190
(주)경동인베스트,012320,2018/12,0,7591724
(주)경동인베스트,012320,2019/12,0,0
(주)경동인베스트,012320,2020/12,0,0
(주)경방,000050,1981/12,0,
(주)경방,000050,1982/12,0,
(주)경방,000050,1983/12,0,
(주)경방,000050,1984/12,0,
(주)경방,000050,1985/12,0,
(주)경방,000050,1986/12,0,
(주)경방,000050,1987/12,0,
(주)경방,000050,1988/12,0,
(주)경방,000050,1989/12,0,
(주)경방,000050,1990/12,0,
(주)경방,000050,1991/12,0,
(주)경방,000050,1992/12,0,
(주)경방,000050,1993/12,0,
(주)경방,000050,1994/12,0,
(주)경방,000050,1995/12,0,
(주)경방,000050,1996/12,0,
(주)경방,000050,1997/12,0,
(주)경방,000050,1998/12,0,
(주)경방,000050,1999/12,0,
(주)경방,000050,2000/12,0,
(주)경방,000050,2001/12,0,
(주)경방,000050,2002/12,0,
(주)경방,000050,2003/12,0,
(주)경방,000050,2004/12,0,
(주)경방,000050,2005/12,0,
(주)경방,000050,2006/12,0,
(주)경방,000050,2007/12,0,0
(주)경방,000050,2008/12,0,0
(주)경방,000050,2009/12,0,94252986
(주)경방,000050,2010/12,0,89816772
(주)경방,000050,2011/12,0,88966584
