종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"267290","경동도시가스","24650","-100","-0.40","24900","24950","24650","18939","469220900","145321757900","5895406"
"012320","경동인베스트","41650","150","0.36","41500","41950","41200","4357","180797500","98503207950","2365023"
"000050","경방","15400","300","1.99","15100","15400","15100","57359","877051750","422195158000","27415270"
"214390","경보제약","12350","150","1.23","12250","12400","12200","71310","874894000","295249721000","23906860"
"012610","경인양행","7240","70","0.98","7150","7280","7140","324200","2342007240","300433682600","41496365"
"009140","경인전자","33300","200","0.60","33200","33350","32700","3595","118959600","52307540100","1570797"
"013580","계룡건설","36650","-100","-0.27","36500","37850","35950","122598","4495438250","327317741550","8930907"
"012200","계양전기","4870","-80","-1.62","4975","4980","4865","396255","1937722605","158762000000","32600000"
"012205","계양전기우","8140","-90","-1.09","8230","8230","8140","3649","29922690","11396000000","1400000"
"002140","고려산업","4070","-5","-0.12","4075","4075","4020","231136","935443390","101503459750","24939425"
"010130","고려아연","441000","-4500","-1.01","447500","448000","440500","54472","24100019000","8321670000000","18870000"
"002240","고려제강","25600","0","0.00","25600","25850","24850","74044","1875325350","588800000000","23000000"
"009290","광동제약","9090","10","0.11","9120","9150","9050","128576","1170844870","476505535590","52420851"
"017040","광명전기","2865","5","0.17","2850","2880","2825","967878","2764741265","124162266975","43337615"
"017900","광전자","2515","0","0.00","2515","2570","2515","303469","769937245","145728563945","57943763"
"037710","광주신세계","204000","1000","0.49","206000","206000","199000","4798","963208500","326400000000","1600000"
"030610","교보증권","8980","-100","-1.10","9090","9150","8970","141689","1285059930","580586598080","64653296"
"339770","교촌에프앤비","19250","-400","-2.04","19650","19750","19150","195940","3796906900","480913895000","24982540"
"007690","국도화학","76300","-800","-1.04","77200","77200","75500","20795","1588244500","443350000800","5810616"
"005320","국동","3360","160","5.00","3250","3390","3195","572064","1880327510","176614263840","52563769"
"001140","국보","1695","-5","-0.29","1695","1710","1680","523120","886961065","91133832735","53766273"
"002720","국제약품","7170","180","2.58","6990","7180","6970","122776","870499960","138209565300","19276090"
"083420","그린케미칼","12850","0","0.00","12700","13000","12550","266022","3388382050","308400000000","24000000"
"014530","극동유화","5740","-10","-0.17","6100","6470","5720","10648789","64921226300","200150470800","34869420"
"014280","금강공업","8000","-30","-0.37","8030","8090","7900","158450","1268728990","233403480000","29175435"
"014285","금강공업우","14000","150","1.08","13950","14200","13900","4780","66902350","8258250000","589875"
"008870","금비","83000","900","1.10","82100","84800","81500","7746","646532400","83000000000","1000000"
"001570","금양","5230","30","0.58","5220","5260","5150","227367","1183594380","250073035760","47815112"
"002990","금호건설","12250","150","1.24","12300","12500","12050","622120","7648663900","448765569000","36633924"
"002995","금호건설우","37950","1100","2.99","37100","39450","37100","5866","224590050","11091494700","292266"
"011780","금호석유","236000","500","0.21","235500","239000","233000","234288","55072762500","7190375076000","30467691"
"011785","금호석유우","119500","-500","-0.42","121000","121500","118000","57287","6806779500","361306577000","3023486"
"214330","금호에이치티","2305","-15","-0.65","2320","2325","2290","1210317","2789971430","288718908605","125257661"
"001210","금호전기","3075","125","4.24","2970","3090","2950","234344","708512915","40184847225","13068243"
"073240","금호타이어","5210","-20","-0.38","5230","5300","5130","611981","3195511690","1496626095270","287260287"
"092440","기신정기","5610","20","0.36","5590","5650","5470","383080","2136959820","163812000000","29200000"
